A,B,C,D,E,F
5100,374,333,257,96118,1221
5101,417,466,329,137193,1565
5102,125,87,316,39500,1550
5103,232,200,288,66816,1349
5104,450,485,301,135450,1518
5105,299,344,335,100165,1592
5106,280,233,270,75600,1245
5107,419,468,209,87571,1020
5108,11,56,257,2827,1271
5109,465,466,290,134850,1347
5110,247,260,303,74841,1447
5111,105,82,368,38640,1796
5112,68,64,289,19652,1339
5113,51,75,227,11577,1056
5114,386,361,365,140890,1755
5115,230,249,256,58880,1201
5116,16,41,363,5808,1744
5117,62,97,320,19840,1539
5118,32,82,218,6976,1073
5119,476,436,357,169932,1773
5120,306,290,341,104346,1706
5121,51,66,303,15453,1451
5122,167,217,271,45257,1341
5123,145,156,379,54955,1923
5124,276,323,393,108468,1941
5125,229,188,351,80379,1674
5126,77,66,238,18326,1144
5127,434,432,205,88970,915
5128,254,228,389,98806,1969
5129,92,55,234,21528,1093
5130,480,499,352,168960,1800
5131,1,-38,243,243,1138
5132,425,444,360,153000,1759
5133,32,38,368,11776,1777
5134,152,157,231,35112,1043
5135,132,166,211,27852,972
5136,429,406,237,101673,1159
5137,431,480,281,121111,1320
5138,274,264,201,55074,902
5139,186,136,357,66402,1821
5140,328,315,273,89544,1367
5141,190,209,374,71060,1789
5142,388,407,306,118728,1486
5143,368,327,220,80960,1068
5144,399,371,360,143640,1680
5145,361,340,253,91333,1186
5146,466,454,254,118364,1261
5147,51,40,396,20196,1865
5148,348,305,255,88740,1222
5149,332,363,364,120848,1804
5150,80,62,313,25040,1455
5151,352,321,354,124608,1694
5152,464,462,256,118784,1176
5153,437,401,275,120175,1389
5154,440,454,221,97240,1033
5155,366,347,200,73200,915
5156,484,481,358,173272,1793
5157,111,111,345,38295,1710
5158,35,53,206,7210,968
5159,25,21,346,8650,1655
5160,71,25,219,15549,991
5161,26,67,315,8190,1513
5162,468,475,358,167544,1775
5163,109,68,399,43491,1937
5164,235,275,336,78960,1653
5165,91,50,256,23296,1292
5166,316,339,376,118816,1778
5167,178,130,354,63012,1672
5168,109,94,367,40003,1872
5169,175,187,365,63875,1737
5170,490,492,262,128380,1327
5171,248,207,367,91016,1808
5172,384,342,388,148992,1882
5173,333,290,335,111555,1559
5174,293,248,363,106359,1719
5175,421,434,391,164611,1938
5176,478,480,353,168734,1719
5177,482,508,375,180750,1903
5178,372,352,255,94860,1205
5179,190,149,399,75810,2009
5180,400,355,208,83200,1065
5181,126,116,365,45990,1819
5182,89,124,306,27234,1500
5183,83,98,309,25647,1472
5184,89,61,289,25721,1445
5185,317,296,210,66570,1003
5186,384,381,201,77184,927
5187,7,-38,324,2268,1586
5188,425,438,391,166175,1972
5189,69,58,400,27600,1959
5190,258,308,398,102684,2002
5191,41,1,349,14309,1689
5192,298,269,243,72414,1181
5193,468,460,384,179712,1885
5194,299,320,215,64285,1000
5195,88,105,201,17688,885
5196,196,227,342,67032,1738
5197,422,468,329,138838,1541
5198,198,188,334,66132,1632
5199,409,437,348,142332,1732
5200,364,362,274,99736,1345
5201,398,431,302,120196,1412
5202,228,259,381,86868,1841
5203,351,349,242,84942,1094
5204,258,243,341,87978,1615
5205,318,320,306,97308,1550
5206,107,59,318,34026,1570
5207,371,333,352,130592,1724
5208,186,227,284,52824,1301
5209,213,228,283,60279,1396
5210,11,-3,320,3520,1525
5211,429,395,240,102960,1099
5212,441,463,382,168462,1846
5213,65,23,397,25805,1873
5214,405,406,227,91935,1058
5215,427,466,226,96502,1074
5216,316,277,352,111232,1743
5217,267,272,377,100659,1813
5218,439,477,311,136529,1458
5219,185,150,338,62530,1626
5220,221,194,394,87074,1928
5221,429,415,365,156585,1822
5222,408,414,311,126888,1532
5223,36,8,305,10980,1468
5224,8,-27,335,2680,1681
5225,269,318,222,59718,1101
5226,370,386,391,144670,1969
5227,48,21,277,13296,1416
5228,264,248,329,86856,1682
5229,191,147,350,66850,1737
5230,359,384,211,75749,992
5231,439,405,282,123798,1402
5232,411,361,344,141384,1652
5233,359,372,226,81134,1135
5234,41,-5,244,10004,1100
5235,137,174,284,38908,1435
5236,150,186,269,40350,1230
5237,21,-15,399,8379,1910
5238,364,381,263,95732,1244
5239,295,302,255,75225,1294
5240,248,250,361,89528,1740
5241,426,457,253,107778,1182
5242,451,438,299,134849,1404
5243,211,230,382,80602,1927
5244,140,190,283,39620,1357
5245,218,173,374,81532,1783
5246,460,436,316,145360,1466
5247,406,450,340,138040,1646
5248,464,481,233,108112,1151
5249,107,124,303,32421,1438
5250,57,50,214,12198,1004
5251,104,89,303,31512,1460
5252,383,352,206,78898,934
5253,149,118,329,49021,1591
5254,342,355,318,108756,1528
5255,453,470,353,159909,1655
5256,466,422,206,95996,1013
5257,295,266,274,80830,1273
5258,128,153,380,48640,1814
5259,313,288,303,94839,1413
5260,423,379,395,167085,1858
5261,115,129,310,35650,1504
5262,323,348,304,98192,1533
5263,424,383,361,153064,1819
5264,72,84,333,23976,1556
5265,352,347,254,89408,1153
5266,57,53,256,14592,1319
5267,400,442,338,135200,1600
5268,168,129,344,57792,1677
5269,482,489,234,112788,1058
5270,129,157,341,43989,1720
5271,392,399,222,87024,1022
5272,18,-4,315,5670,1555
5273,402,449,250,100500,1245
5274,198,156,371,73458,1831
5275,376,352,299,112424,1519
5276,120,107,266,31920,1342
5277,311,351,279,86769,1424
5278,119,126,310,36890,1554
5279,500,476,201,100500,1031
5280,165,115,255,42075,1309
5281,466,422,232,108112,1081
5282,373,389,261,97353,1336
5283,439,415,208,91312,1066
5284,305,339,224,68320,1041
5285,372,340,229,85188,1096
5286,443,486,288,127584,1363
5287,49,98,262,12838,1305
5288,329,302,273,89817,1337
5289,314,274,237,74418,1115
5290,399,357,289,115311,1413
5291,355,385,348,123540,1697
5292,384,423,208,79872,1059
5293,161,161,345,55545,1706
5294,150,105,360,54000,1806
5295,128,99,342,43776,1723
5296,379,389,229,86791,1110
5297,16,35,245,3920,1129
5298,454,492,247,112138,1135
5299,106,140,289,30634,1483
5300,318,311,389,123702,1983
5301,321,311,367,117807,1841
5302,344,380,275,94600,1387
5303,265,284,217,57505,974
5304,157,185,237,37209,1205
5305,219,187,376,82344,1905
5306,466,470,343,159838,1638
5307,6,-1,384,2304,1888
5308,451,473,373,168223,1784
5309,56,12,275,15400,1257
5310,243,223,302,73386,1513
5311,31,-1,274,8494,1398
5312,263,305,219,57597,1134
5313,466,446,271,126286,1297
5314,124,91,267,33108,1244
5315,212,240,245,51940,1195
5316,204,182,337,68748,1616
5317,374,395,313,117062,1566
5318,153,198,383,58599,1938
5319,17,-13,372,6324,1877
5320,440,392,291,128040,1443
5321,363,369,386,140118,1896
5322,485,490,395,191575,1893
5323,464,473,298,138272,1373
5324,288,307,243,69984,1215
5325,66,92,204,13464,945
5326,30,50,319,9570,1498
5327,77,38,381,29337,1940
5328,184,207,251,46184,1245
5329,201,165,297,59697,1393
5330,460,476,320,147200,1600
5331,343,382,319,109417,1546
5332,471,423,237,111627,1150
5333,214,174,276,59064,1272
5334,117,67,385,45045,1955
5335,126,111,207,26082,942
5336,319,332,248,79112,1209
5337,383,350,384,147072,1830
5338,143,162,241,34463,1233
5339,125,170,229,28625,1157
5340,46,87,271,12466,1360
5341,379,346,234,88686,1194
5342,314,323,292,91688,1417
5343,331,301,311,102941,1477
5344,410,451,227,93070,1082
5345,117,126,319,37323,1553
5346,127,168,375,47625,1772
5347,13,-22,240,3120,1203
5348,338,297,365,123370,1857
5349,488,478,341,166408,1708
5350,344,303,303,104232,1454
5351,382,401,382,145924,1824
5352,469,430,203,95207,993
5353,323,332,289,93347,1472
5354,152,138,314,47728,1536
5355,90,61,218,19620,981
5356,14,58,375,5250,1860
5357,459,448,339,155601,1676
5358,478,448,351,167778,1773
5359,353,313,386,136258,1915
5360,289,323,363,104907,1732
5361,233,248,332,77356,1647
5362,493,457,391,192763,1986
5363,413,433,312,128856,1573
5364,258,227,205,52890,1059
5365,308,339,353,108724,1766
5366,89,126,317,28213,1507
5367,245,265,396,97020,2000
5368,96,113,255,24480,1181
5369,236,201,280,66080,1431
5370,85,80,238,20230,1072
5371,377,342,357,134589,1801
5372,296,299,362,107152,1832
5373,253,208,235,59455,1086
5374,31,9,369,11439,1769
5375,278,272,202,56156,947
5376,409,360,396,161964,1927
5377,437,444,218,95266,1069
5378,333,316,362,120546,1838
5379,146,174,372,54312,1797
5380,76,95,342,25992,1734
5381,57,105,265,15105,1358
5382,282,305,215,60630,1071
5383,108,80,397,42876,2007
5384,90,40,210,18900,1072
5385,440,476,396,174240,1950
5386,278,297,276,76728,1307
5387,206,238,211,43466,951
5388,15,49,294,4410,1424
5389,490,514,300,147000,1511
5390,265,215,205,54325,1005
5391,93,90,389,36177,1888
5392,118,161,242,28556,1149
5393,175,148,262,45850,1344
5394,233,183,221,51493,1143
5395,227,245,300,68100,1417
5396,82,47,390,31980,1969
5397,447,407,228,101916,1143
5398,208,178,225,46800,1081
5399,332,346,379,125828,1815
5400,238,231,268,63784,1318
5401,318,319,282,89676,1327
5402,47,41,317,14899,1510
5403,178,141,311,55358,1479
5404,227,229,265,60155,1205
5405,225,227,397,89325,1961
5406,80,84,337,26960,1671
5407,432,444,298,128736,1500
5408,114,127,342,38988,1612
5409,421,374,344,144824,1603
5410,243,194,315,76545,1606
5411,246,259,359,88314,1748
5412,468,421,287,134316,1361
5413,179,215,340,60860,1611
5414,446,408,252,112392,1264
5415,152,158,397,60344,1953
5416,452,468,230,103960,1113
5417,140,120,340,47600,1638
5418,409,370,337,137833,1567
5419,499,475,238,118762,1075
5420,382,404,311,118802,1591
5421,5,55,231,1155,1092
5422,480,522,277,132960,1296
5423,214,215,390,83460,1877
5424,300,253,273,81900,1313
5425,241,274,298,71818,1467
5426,372,382,394,146568,1908
5427,290,303,304,88160,1432
5428,222,197,219,48618,1069
5429,239,273,400,95600,1982
5430,258,248,391,100878,1914
5431,430,441,227,97610,1134
5432,499,472,369,184131,1876
5433,318,315,249,79182,1141
5434,283,325,216,61128,1020
5435,340,299,340,115600,1643
5436,169,123,288,48672,1473
5437,8,-24,330,2640,1672
5438,5,-8,320,1600,1520
5439,22,59,257,5654,1217
5440,206,176,320,65920,1630
5441,341,362,260,88660,1195
5442,351,370,333,116883,1660
5443,438,476,328,143664,1643
5444,387,362,361,139707,1744
5445,361,404,352,127072,1640
5446,398,427,228,90744,1066
5447,281,324,276,77556,1384
5448,456,453,234,106704,1141
5449,292,307,373,108916,1749
5450,370,326,324,119880,1651
5451,410,419,313,128330,1477
5452,252,225,336,84672,1598
5453,451,435,271,122221,1308
5454,5,25,380,1900,1823
5455,404,430,340,137360,1588
5456,282,306,330,93060,1640
5457,281,256,265,74465,1215
5458,494,484,254,125476,1253
5459,153,148,207,31671,962
5460,413,439,281,116053,1436
5461,185,164,378,69930,1849
5462,447,450,283,126501,1451
5463,277,250,362,100274,1786
5464,143,175,350,50050,1751
5465,112,129,339,37968,1601
5466,30,42,224,6720,1056
5467,115,66,265,30475,1318
5468,379,375,389,147431,1969
5469,1,7,258,258,1252
5470,177,201,215,38055,987
5471,488,505,336,163968,1564
5472,436,456,200,87200,984
5473,229,246,266,60914,1358
5474,75,104,269,20175,1276
5475,476,514,392,186592,1901
5476,13,43,248,3224,1269
5477,27,-22,357,9639,1781
5478,39,76,363,14157,1731
5479,352,324,392,137984,1872
5480,380,421,302,114760,1452
5481,341,381,291,99231,1404
5482,325,352,207,67275,947
5483,367,377,240,88080,1159
5484,284,317,306,86904,1502
5485,40,24,209,8360,980
5486,113,120,303,34239,1452
5487,181,142,216,39096,1012
5488,175,216,325,56875,1613
5489,415,406,391,162265,1953
5490,393,366,314,123402,1518
5491,286,313,368,105248,1813
5492,224,222,245,54880,1133
5493,284,333,348,98832,1711
5494,27,64,262,7074,1219
5495,458,462,251,114958,1136
5496,471,423,353,166263,1674
5497,148,168,208,30784,1039
5498,417,418,233,97161,1193
5499,97,71,289,28033,1338
5500,218,261,375,81750,1896
5501,68,100,336,22848,1591
5502,223,190,400,89200,2020
5503,344,311,290,99760,1477
5504,294,314,247,72618,1271
5505,498,502,251,124998,1163
5506,318,280,271,86178,1334
5507,460,508,387,178020,1871
5508,447,462,223,99681,1009
5509,49,62,304,14896,1452
5510,99,61,304,30096,1404
5511,151,116,250,37750,1159
5512,478,484,332,158696,1546
5513,332,364,370,122840,1773
5514,212,203,323,68476,1511
5515,27,-8,315,8505,1517
5516,342,338,296,101232,1415
5517,367,326,245,89915,1175
5518,4,-11,388,1552,1843
5519,49,83,348,17052,1695
5520,296,311,358,105968,1829
5521,60,41,331,19860,1631
5522,454,478,209,94886,1037
5523,69,100,384,26496,1855
5524,162,151,273,44226,1370
5525,486,530,368,178848,1818
5526,457,448,304,138928,1461
5527,241,256,370,89170,1836
5528,27,0,247,6669,1126
5529,383,410,392,150136,1943
5530,6,-20,286,1716,1407
5531,340,290,264,89760,1275
5532,326,310,355,115730,1749
5533,303,346,273,82719,1362
5534,100,121,360,36000,1753
5535,381,378,375,142875,1814
5536,452,470,290,131080,1409
5537,432,437,335,144720,1682
5538,260,288,248,64480,1216
5539,147,125,232,34104,1183
5540,208,235,325,67600,1564
5541,497,539,274,136178,1409
5542,271,266,206,55826,980
5543,317,345,393,124581,2002
5544,224,192,377,84448,1900
5545,437,441,320,139840,1589
5546,259,289,341,88319,1718
5547,412,420,335,138020,1582
5548,430,478,346,148780,1646
5549,237,210,350,82950,1671
5550,45,60,252,11340,1266
5551,379,370,230,87170,1030
5552,37,-10,393,14541,1984
5553,251,238,392,98392,1902
5554,194,179,314,60916,1580
5555,238,265,349,83062,1637
5556,184,211,323,59432,1508
5557,186,177,366,68076,1840
5558,257,231,351,90207,1758
5559,323,300,264,85272,1291
5560,342,387,377,128934,1883
5561,399,432,276,110124,1349
5562,316,284,286,90376,1380
5563,343,375,206,70658,1008
5564,403,430,245,98735,1205
5565,49,17,291,14259,1439
5566,249,292,363,90387,1779
5567,196,185,202,39592,977
5568,362,373,367,132854,1847
5569,462,503,297,137214,1509
5570,411,438,364,149604,1790
5571,60,74,395,23700,1982
5572,28,18,327,9156,1535
5573,110,152,396,43560,1951
5574,36,46,361,12996,1727
5575,407,446,285,115995,1343
5576,53,92,286,15158,1390
5577,135,122,362,48870,1833
5578,396,430,289,114444,1471
5579,276,287,394,108744,1910
5580,277,263,279,77283,1434
5581,134,99,367,49178,1802
5582,268,231,211,56548,1084
5583,254,303,324,82296,1555
5584,6,55,329,1974,1665
5585,211,205,234,49374,1074
5586,71,57,203,14413,916
5587,392,371,263,103096,1258
5588,248,296,281,69688,1303
5589,477,520,380,181260,1938
5590,143,169,309,44187,1543
5591,378,403,384,145152,1840
5592,52,16,307,15964,1476
5593,200,153,320,64000,1575
5594,379,429,316,119764,1585
5595,155,135,348,53940,1766
5596,362,368,305,110410,1467
5597,140,148,357,49980,1738
5598,459,430,203,93177,937
5599,326,358,242,78892,1178
5600,312,280,267,83304,1320
5601,151,189,246,37146,1214
5602,106,125,305,32330,1451
5603,55,14,326,17930,1529
5604,466,419,284,132344,1376
5605,408,397,227,92616,1136
5606,134,170,222,29748,1066
5607,272,264,370,100640,1731
5608,369,419,380,140220,1915
5609,211,234,326,68786,1551
5610,23,2,290,6670,1417
5611,494,461,277,136838,1382
5612,253,281,370,93610,1783
5613,488,514,277,135176,1408
5614,435,434,204,88740,984
5615,434,465,380,164920,1814
5616,59,46,398,23482,1928
5617,48,12,326,15648,1598
5618,153,201,387,59211,1866
5619,414,364,370,153180,1841
5620,251,237,338,84838,1714
5621,488,507,286,139568,1389
5622,27,-22,343,9261,1702
5623,145,131,262,37990,1294
5624,315,306,239,75285,1167
5625,62,17,263,16306,1280
5626,292,288,211,61612,959
5627,450,432,388,174600,1963
5628,259,231,291,75369,1339
5629,22,-13,210,4620,1059
5630,169,149,242,40898,1183
5631,247,278,351,86697,1794
5632,276,273,221,60996,1107
5633,337,315,358,120646,1688
5634,42,40,221,9282,1071
5635,112,78,218,24416,997
5636,104,137,236,24544,1162
5637,375,358,231,86625,1047
5638,309,308,354,109386,1807
5639,407,423,314,127798,1512
5640,33,9,328,10824,1577
5641,479,480,309,148011,1498
5642,466,505,301,140266,1461
5643,68,45,311,21148,1467
5644,145,153,345,50025,1662
5645,216,253,341,73656,1609
5646,392,422,276,108192,1354
5647,474,429,346,164004,1761
5648,237,283,211,50007,953
5649,312,357,240,74880,1141
5650,339,374,255,86445,1230
5651,226,189,264,59664,1350
5652,463,453,285,131955,1354
5653,333,361,300,99900,1479
5654,39,84,362,14118,1769
5655,303,290,361,109383,1774
5656,218,205,373,81314,1882
5657,63,92,213,13419,973
5658,248,217,329,81592,1580
5659,396,374,359,142164,1716
5660,439,394,278,122042,1379
5661,129,89,201,25929,1036
5662,92,57,293,26956,1365
5663,473,450,237,112101,1145
5664,449,407,298,133802,1420
5665,420,467,391,164220,1853
5666,497,483,279,138663,1369
5667,415,384,262,108730,1216
5668,162,208,251,40662,1166
5669,276,325,225,62100,1163
5670,166,182,223,37018,1007
5671,4,-21,215,860,1102
5672,237,188,398,94326,1903
5673,328,378,244,80032,1195
5674,364,316,387,140868,1922
5675,134,157,255,34170,1254
5676,494,452,239,118066,1232
5677,419,393,208,87152,948
5678,66,95,247,16302,1224
5679,6,52,325,1950,1583
5680,45,20,388,17460,1941
5681,422,387,266,112252,1300
5682,433,456,332,143756,1683
5683,2,-27,384,768,1857
5684,351,387,342,120042,1682
5685,62,51,303,18786,1461
5686,404,441,307,124028,1440
5687,402,389,341,137082,1708
5688,285,276,203,57855,982
5689,203,174,381,77343,1923
5690,456,431,230,104880,1154
5691,360,331,205,73800,1033
5692,307,259,287,88109,1394
5693,199,227,310,61690,1576
5694,405,393,239,96795,1077
5695,228,233,397,90516,1988
5696,221,177,290,64090,1463
5697,315,269,369,116235,1838
5698,277,313,220,60940,1070
5699,263,279,331,87053,1670
5700,162,147,310,50220,1461
5701,402,451,264,106128,1296
5702,371,406,367,136157,1844
5703,270,229,350,94500,1743
5704,172,163,360,61920,1732
5705,376,355,229,86104,1153
5706,140,151,266,37240,1323
5707,123,107,282,34686,1427
5708,355,393,322,114310,1609
5709,268,233,302,80936,1462
5710,112,99,353,39536,1648
5711,273,285,206,56238,929
5712,340,381,262,89080,1281
5713,23,-21,342,7866,1642
5714,221,207,352,77792,1799
5715,308,337,394,121352,1931
5716,112,75,347,38864,1707
5717,276,245,400,110400,2024
5718,471,499,276,129996,1261
5719,53,83,219,11607,1017
5720,386,402,361,139346,1843
5721,9,5,342,3078,1732
5722,212,193,218,46216,1098
5723,187,195,203,37961,1011
5724,414,394,347,143658,1750
5725,7,45,258,1806,1281
5726,250,266,244,61000,1106
5727,334,284,248,82832,1132
5728,462,445,243,112266,1245
5729,139,159,307,42673,1518
5730,31,17,322,9982,1630
5731,15,-33,400,6000,1998
5732,425,403,213,90525,1040
5733,131,87,310,40610,1501
5734,416,401,296,123136,1379
5735,413,375,262,108206,1283
5736,248,208,200,49600,937
5737,251,211,352,88352,1655
5738,456,429,349,159144,1778
5739,193,228,200,38600,919
5740,79,61,365,28835,1793
5741,469,422,298,139762,1439
5742,231,272,350,80850,1706
5743,3,10,378,1134,1829
5744,147,146,356,52332,1694
5745,445,405,330,146850,1653
5746,36,50,321,11556,1641
5747,236,225,400,94400,1993
5748,174,155,393,68382,1883
5749,122,166,386,47092,1847
5750,47,60,381,17907,1788
5751,144,129,281,40464,1300
5752,135,121,215,29025,1016
5753,222,249,262,58164,1276
5754,372,356,274,101928,1294
5755,336,321,399,134064,1916
5756,215,181,229,49235,1080
5757,400,381,353,141200,1647
5758,308,332,225,69300,1106
5759,10,-31,255,2550,1213
5760,481,514,325,156325,1531
5761,283,262,280,79240,1292
5762,100,53,299,29900,1414
5763,280,272,390,109200,1980
5764,410,400,365,149650,1740
5765,54,36,243,13122,1233
5766,440,463,285,125400,1384
5767,41,41,397,16277,1948
5768,387,417,342,132354,1653
5769,80,90,339,27120,1603
5770,476,438,365,173740,1825
5771,354,403,345,122130,1667
5772,439,407,254,111506,1155
5773,402,364,397,159594,1999
5774,134,173,200,26800,1027
5775,441,427,272,119952,1377
5776,419,422,251,105169,1201
5777,45,39,201,9045,899
5778,192,185,295,56640,1416
5779,41,66,399,16359,1990
5780,53,97,245,12985,1119
5781,215,231,310,66650,1563
5782,196,169,397,77812,1939
5783,450,444,294,132300,1353
5784,214,188,204,43656,1053
5785,442,393,400,176800,1989
5786,196,146,271,53116,1366
5787,262,242,365,95630,1826
5788,450,440,352,158400,1695
5789,329,326,358,117782,1763
5790,275,294,307,84425,1543
5791,473,499,215,101695,1065
5792,103,129,361,37183,1708
5793,496,485,264,130944,1208
5794,364,333,222,80808,1126
5795,495,540,313,154935,1512
5796,185,143,247,45695,1210
5797,67,111,360,24120,1730
5798,257,280,342,87894,1615
5799,459,481,309,141831,1454
5800,227,273,353,80131,1664
5801,216,198,249,53784,1202
5802,270,228,303,81810,1479
5803,429,430,372,159588,1762
5804,98,71,388,38024,1851
5805,128,164,248,31744,1196
5806,479,477,393,188247,1915
5807,37,67,215,7955,1048
5808,438,447,395,173010,1863
5809,396,373,252,99792,1240
5810,476,435,395,188020,1981
5811,366,406,273,99918,1380
5812,415,378,228,94620,1091
5813,199,149,277,55123,1321
5814,161,183,325,52325,1619
5815,378,340,335,126630,1711
5816,103,136,303,31209,1467
5817,470,493,200,94000,896
5818,492,478,247,121524,1182
5819,403,380,275,110825,1306
5820,360,401,231,83160,1040
5821,384,418,362,139008,1709
5822,273,309,369,100737,1804
5823,461,485,239,110179,1180
5824,484,492,268,129712,1364
5825,407,442,396,161172,1982
5826,458,444,244,111752,1150
5827,276,231,278,76728,1291
5828,161,199,215,34615,978
5829,33,-4,386,12738,1847
5830,115,154,389,44735,1864
5831,297,333,222,65934,1061
5832,498,454,286,142428,1367
5833,371,420,257,95347,1174
5834,454,426,244,110776,1142
5835,457,484,363,165891,1760
5836,435,454,327,142245,1617
5837,55,33,310,17050,1491
5838,160,144,308,49280,1431
5839,170,217,223,37910,1108
5840,491,525,327,160557,1668
5841,82,78,346,28372,1758
5842,153,152,340,52020,1622
5843,145,195,217,31465,1038
5844,354,393,398,140892,2017
5845,460,433,247,113620,1248
5846,48,39,282,13536,1370
5847,126,113,317,39942,1476
5848,69,71,364,25116,1712
5849,474,505,344,163056,1611
5850,122,122,263,32086,1269
5851,229,220,354,81066,1657
5852,34,62,374,12716,1790
5853,314,299,315,98910,1560
5854,416,421,239,99424,1181
5855,62,40,234,14508,1083
5856,240,246,291,69840,1359
5857,407,406,217,88319,1013
5858,285,313,206,58710,924
5859,32,50,273,8736,1356
5860,331,307,235,77785,1154
5861,319,344,330,105270,1589
5862,162,164,288,46656,1455
5863,224,181,249,55776,1155
5864,328,286,392,128576,1976
5865,423,413,245,103635,1194
5866,327,354,320,104640,1569
5867,393,431,229,89997,1115
5868,441,427,261,115101,1185
5869,371,379,223,82733,1063
5870,445,450,321,142845,1538
5871,392,397,335,131320,1584
5872,101,138,264,26664,1235
5873,128,132,206,26368,1051
5874,390,342,317,123630,1605
5875,451,457,254,114554,1180
5876,498,490,299,148902,1460
5877,296,311,363,107448,1731
5878,198,163,309,61182,1430
5879,108,83,321,34668,1591
5880,412,442,384,158208,1936
5881,181,176,238,43078,1160
5882,478,520,223,106594,1105
5883,467,460,350,163450,1749
5884,183,214,303,55449,1456
5885,263,229,395,103885,2013
5886,101,81,260,26260,1240
5887,362,370,354,128148,1748
5888,488,498,273,133224,1295
5889,216,209,298,64368,1493
5890,173,135,235,40655,1185
5891,397,403,226,89722,1090
5892,156,132,288,44928,1346
5893,236,225,316,74576,1565
5894,83,56,202,16766,997
5895,98,109,332,32536,1553
5896,317,305,336,106512,1716
5897,207,176,285,58995,1460
5898,140,148,252,35280,1288
5899,339,383,380,128820,1829
5900,497,492,383,190351,1943
5901,23,43,291,6693,1494
5902,429,428,384,164736,1875
5903,86,87,385,33110,1807
5904,125,130,219,27375,1031
5905,139,155,208,28912,1078
5906,196,235,218,42728,1066
5907,333,331,316,105228,1489
5908,173,134,277,47921,1411
5909,363,400,339,123057,1692
5910,96,64,286,27456,1453
5911,384,397,271,104064,1381
5912,418,391,328,137104,1596
5913,361,380,373,134653,1814
5914,349,345,240,83760,1206
5915,374,380,363,135762,1841
5916,273,275,348,95004,1769
5917,485,512,328,159080,1675
5918,115,132,341,39215,1683
5919,289,249,352,101728,1673
5920,413,415,331,136703,1632
5921,498,496,316,157368,1502
5922,358,322,206,73748,940
5923,239,204,208,49712,1054
5924,356,406,213,75828,1057
5925,414,368,342,141588,1613
5926,336,303,309,103824,1543
5927,254,303,203,51562,992
5928,79,125,225,17775,1134
5929,30,74,211,6330,966
5930,143,140,293,41899,1349
5931,359,368,329,118111,1571
5932,81,83,294,23814,1496
5933,327,351,247,80769,1175
5934,13,34,302,3926,1487
5935,420,443,295,123900,1446
5936,26,34,308,8008,1487
5937,494,509,292,144248,1410
5938,442,419,270,119340,1332
5939,430,381,295,126850,1498
5940,366,323,296,108336,1489
5941,8,23,205,1640,1000
5942,203,171,205,41615,934
5943,220,264,337,74140,1621
5944,434,449,295,128030,1466
5945,93,73,328,30504,1574
5946,107,105,246,26322,1138
5947,64,97,257,16448,1308
5948,39,74,281,10959,1432
5949,105,83,294,30870,1367
5950,320,325,333,106560,1698
5951,18,36,373,6714,1834
5952,415,421,220,91300,983
5953,410,442,201,82410,1029
5954,209,231,383,80047,1854
5955,66,17,247,16302,1224
5956,382,404,264,100848,1251
5957,292,278,238,69496,1140
5958,493,501,370,182410,1859
5959,143,150,342,48906,1607
5960,336,379,338,113568,1606
5961,379,349,226,85654,1057
5962,183,196,225,41175,1068
5963,62,35,281,17422,1437
5964,401,394,322,129122,1634
5965,134,127,321,43014,1564
5966,343,314,275,94325,1369
5967,32,29,353,11296,1777
5968,2,29,346,692,1674
5969,198,160,260,51480,1288
5970,201,166,310,62310,1563
5971,140,188,275,38500,1409
5972,408,384,350,142800,1783
5973,153,142,333,50949,1608
5974,240,232,267,64080,1343
5975,362,357,325,117650,1598
5976,182,153,278,50596,1324
5977,399,404,320,127680,1532
5978,145,105,215,31175,1042
5979,142,179,250,35500,1191
5980,439,478,391,171649,1921
5981,66,62,330,21780,1660
5982,269,236,344,92536,1760
5983,327,368,222,72594,1005
5984,303,261,231,69993,1082
5985,212,254,325,68900,1652
5986,134,108,356,47704,1746
5987,24,15,396,9504,1971
5988,461,486,380,175180,1789
5989,191,228,290,55390,1382
5990,219,250,364,79716,1743
5991,78,44,392,30576,1934
5992,162,185,375,60750,1843
5993,180,201,254,45720,1306
5994,347,344,282,97854,1293
5995,153,194,230,35190,1137
5996,40,69,293,11720,1460
5997,41,28,357,14637,1702
5998,326,320,358,116708,1779
5999,195,163,306,59670,1537
6000,327,320,279,91233,1395
6001,403,385,263,105989,1242
6002,204,170,339,69156,1596
6003,499,484,206,102794,985
6004,206,235,267,55002,1241
6005,380,424,370,140600,1774
6006,453,425,240,108720,1226
6007,167,166,352,58784,1756
6008,336,354,353,118608,1711
6009,266,288,332,88312,1628
6010,433,464,352,152416,1789
6011,64,78,315,20160,1460
6012,97,138,284,27548,1430
6013,61,33,222,13542,1128
6014,89,54,276,24564,1267
6015,93,59,381,35433,1794
6016,202,158,274,55348,1370
6017,91,123,326,29666,1629
6018,26,58,323,8398,1581
6019,148,180,367,54316,1762
6020,183,171,310,56730,1448
6021,76,47,204,15504,1020
6022,194,239,243,47142,1161
6023,489,531,271,132519,1289
6024,239,280,333,79587,1629
6025,463,478,302,139826,1532
6026,10,59,348,3480,1688
6027,371,321,300,111300,1421
6028,219,176,260,56940,1273
6029,85,119,332,28220,1671
6030,412,446,319,131428,1547
6031,473,454,201,95073,1014
6032,476,444,395,188020,1866
6033,368,376,349,128432,1678
